Member,Total VP,MANA VP,LAND VP,NAMES VP,Delegated VP,Has Delegated,Delegate,Has Delegators,Delegators,Avatar Preview
0x3f95d7fdce43f5052a0f9bd3d376dea6d22c2560,143766.97921356442,143166.97921356442,0,600,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x3f95d7fdce43f5052a0f9bd3d376dea6d22c2560
0x1b204424563dcfcabd2aee632163b9e6dc8bd4f3,401614.975,317614.975,84000,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x1b204424563dcfcabd2aee632163b9e6dc8bd4f3
0x3859fdfa6854343952b1c2992b25d0821dc71388,0.31968643652573697,0.31968643652573697,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x3859fdfa6854343952b1c2992b25d0821dc71388
0xdeeb51d665e02aa86dcfb41f1e495aab707cd6cf,2535.7602473190955,35.76024731909538,2000,500,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xdeeb51d665e02aa86dcfb41f1e495aab707cd6cf
0x7aaaae8cd46ab71e1e5084d55d9c6b3ea4d970a0,7494.295501184932,901.1650000049326,0,400,6193.13050118,No,,Yes,0xa5e2d705bf7971dec8d7e5f993330d5eda6ec78a,https://wearable-preview.decentraland.org/?profile=0x7aaaae8cd46ab71e1e5084d55d9c6b3ea4d970a0
0x4009f34dae89d04902dce24995594e57ff5830a6,1348.6421048391685,1248.6421048391685,0,100,0,Yes,0xd6eff8f07caf3443a1178407d3de4129149d6ef6,No,,https://wearable-preview.decentraland.org/?profile=0x4009f34dae89d04902dce24995594e57ff5830a6
0x697c6a6aea3671b1a6e10aea736f18fa3079cb97,204.87630270643848,4.876302706438493,0,200,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x697c6a6aea3671b1a6e10aea736f18fa3079cb97
0xb5e7594ec5c93498123571dbac1e7c1699afb768,2101.9839984378414,1.9839984378414677,2000,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xb5e7594ec5c93498123571dbac1e7c1699afb768
0xfba5c049896285f2bd21063bfe2206d13a952fb4,170.949899993,70.949899993,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xfba5c049896285f2bd21063bfe2206d13a952fb4
0xd0d6f458a1228d95a9f1b9841ac2b654a3822fd9,6100,0,6000,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xd0d6f458a1228d95a9f1b9841ac2b654a3822fd9
0xe2cfeab2beba9a7f09fd981f13e84df1e9978a5e,200,0,0,200,0,Yes,0xf3595731c00c1afafdc65eee239d89512d552558,No,,https://wearable-preview.decentraland.org/?profile=0xe2cfeab2beba9a7f09fd981f13e84df1e9978a5e
0xe2523a55e885318ce20621133ad31005d193df56,21.7482786386836,21.7482786386836,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xe2523a55e885318ce20621133ad31005d193df56
0xb0f847e61c502fb82d758c515b3f914de42831d5,150,150,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xb0f847e61c502fb82d758c515b3f914de42831d5
